date,open,high,low,close,volume,Name
03-12-2021,233.601898,239.122101,207.329773,211.224396,4061060881,SOL-USD
04-12-2021,212.112381,212.807541,171.553574,201.124832,5949505665,SOL-USD
05-12-2021,200.780609,204.617477,182.016815,196.168259,3402591975,SOL-USD
06-12-2021,196.547485,197.663025,176.888062,194.199219,3693853028,SOL-USD
07-12-2021,194.276596,204.1185,188.280807,190.596909,2556849839,SOL-USD
08-12-2021,190.505005,196.374115,184.132706,194.621704,2277446203,SOL-USD
09-12-2021,194.483292,196.689743,178.792145,181.178085,1968182104,SOL-USD
10-12-2021,181.46756,184.689423,167.954834,167.954834,2118266396,SOL-USD
11-12-2021,167.916626,173.898483,161.860001,171.949493,1877844189,SOL-USD
12-12-2021,171.948318,176.649414,167.861252,173.431671,1196808540,SOL-USD
13-12-2021,173.09993,173.09993,148.571823,155.213058,2547597256,SOL-USD
14-12-2021,155.141663,161.618271,150.117981,153.341446,2604045117,SOL-USD
15-12-2021,161.358902,182.513168,157.653214,178.34079,3783787658,SOL-USD
16-12-2021,178.591537,188.878708,174.450974,176.954666,2766320569,SOL-USD
17-12-2021,176.894974,182.393631,168.518738,175.503296,2711688386,SOL-USD
18-12-2021,175.656357,184.375183,171.196564,182.835129,1690397976,SOL-USD
19-12-2021,182.850906,189.262543,178.75502,180.098053,1678714066,SOL-USD
20-12-2021,179.977737,181.153259,168.683517,173.671783,1982986558,SOL-USD
21-12-2021,173.694397,182.417511,170.490631,180.092545,1821107818,SOL-USD
22-12-2021,179.858337,187.473434,177.427338,178.597122,1889229699,SOL-USD
23-12-2021,178.502762,193.276047,176.116455,190.036316,2191634326,SOL-USD
24-12-2021,190.102859,197.157715,185.019379,190.273193,2286837232,SOL-USD
25-12-2021,190.531601,195.149231,189.032227,193.120926,1443209769,SOL-USD
26-12-2021,192.920517,200.644196,190.823685,198.000732,1971114647,SOL-USD
27-12-2021,197.883408,204.578568,195.160797,195.429504,1800094698,SOL-USD
28-12-2021,195.621658,195.621658,177.040359,177.425629,2826063568,SOL-USD
29-12-2021,177.389038,180.590775,170.44342,170.657562,2175731146,SOL-USD
30-12-2021,170.764786,175.691162,168.398483,172.75119,1540637869,SOL-USD
31-12-2021,172.703842,177.35704,168.312073,170.299072,1567918820,SOL-USD
01-01-2022,170.310837,178.96225,170.195541,178.517944,1084780603,SOL-USD
02-01-2022,178.53241,179.432358,175.012314,176.382843,995389409,SOL-USD
03-01-2022,176.386307,176.386307,167.533981,170.297745,1345778058,SOL-USD
04-01-2022,170.286118,173.735107,166.740128,167.938904,1499265336,SOL-USD
